# "chat" remix - contains packages which define chat commands that aren't tied to a specific
#       package (or packages)
# This remix contains all such packages; the following remixes contain a smaller selection of
#       packages:
#
#       "chat_admin" - commands available to players with the "unilib_admin" privilege
#       "chat_danger" - commands available to players with the "unilib_danger" privilege
#       "chat_tools" - commands available to players with the "unilib_tools" privilege
#       "chat_normal" - commands available to players without special privileges

# node_name | original_mod

# -------------------------------------------------------------------------------------------------
# Chat commands for player ALARMS

# Shared functions for chat command packages for player alarms
shared_chat_alarm|unilib

# /set_alarm: Sets a daily alarm which rings at HH:MM (24-hour clock)
chat_set_alarm|unilib
# /cancel_alarm: Cancels the daily alarm
chat_cancel_alarm|unilib
# /show_alarm: Shows the current daily alarm (if any)
chat_show_alarm|unilib

# -------------------------------------------------------------------------------------------------
# Chat commands for CHECKING things

# /check_ingredients: Checks whether ingredients provided by external mods are actually available
chat_check_ingredients|unilib

# -------------------------------------------------------------------------------------------------
# Chat commands for checking recipe CONFLICTS

# Shared functions for chat commands for checking recipe conflicts
shared_chat_conflicts|unilib

# /count_recipe_conflicts: Checks for recipe conflicts, displaying the total number found
chat_count_recipe_conflicts|unilib
# /check_recipe_conflicts: Checks for recipe conflicts, displaying detailed output
chat_check_recipe_conflicts|unilib
# /count_group_conflicts: Checks for recipe conflicts (taking groups into account), and displays
#      the total number found
chat_count_group_conflicts|unilib
# /check_group_conflicts: Checks for recipe conflicts (taking groups into account), and displays
#      the total number found
chat_check_group_conflicts|unilib

# -------------------------------------------------------------------------------------------------
# Chat commands for CONVERTing original items into unilib items, and vice-versa

# /convert: Shows the unilib equivalent of a node/craftitems/tools from an original mod
chat_convert|unilib
# /deconvert: Shows the original mod equivalent or a node/craftitems/tools from unilib
chat_deconvert|unilib

# -------------------------------------------------------------------------------------------------
# Chat commands for health, stamina, hydration and advanced CUISINE

# Shared functions for chat commands for health, stamina, hydration and advanced cuisine
shared_chat_cuisine|unilib

# /reset_health: Resets player health
chat_reset_health|unilib
# /reset_hunger: Resets player hunger (if player hunger is enabled)
chat_reset_hunger|unilib
# /reset_thirst: Resets player thirst (if hydration is enabled)
chat_reset_thirst|unilib
# /reset_me: Resets player health, hunger and thirst
chat_reset_me|unilib

# /cripple_health: Reduces player health; the opposite command is /reset_health
chat_cripple_health|unilib
# /cripple_hunger: Reduces player hunger (if player hunger is enabled); the opposite command is
#       /reset_hunger
chat_cripple_hunger|unilib
# /cripple_thirst: Reduces player thirst (if hydration is enabled); the opposite command is
#       /reset_thirst
chat_cripple_thirst|unilib
# /cripple_me: Reduces player health, hunger and thirst; the opposite command is /reset_me
chat_cripple_me|unilib

# /clear_food_history: Clears the player's food history  (if advanced cuisine is enabled)
chat_clear_food_history|unilib
# /show_food_history: Shows the player's food history (if advanced cuisine is enabled)
chat_show_food_history|unilib

# -------------------------------------------------------------------------------------------------
