# =================================================================================================
# Hot humid biomes
# =================================================================================================

# N.B. To make mangrove swamps look the way they're supposed to, use MANGROVE rather than BEACH constants
gaia_hot_humid_ocean|Hot humid ocean biome|||unilib:sand_silt 4|unilib:dirt_silt_fine 6|unilib:stone_basalt_dark|||||||||MANGROVE_MIN|OCEAN||HOT|HUMID
gaia_hot_humid_beach|Hot humid beach biome|||unilib:dirt_silt_fine 2|unilib:dirt_silt_coarse 4|unilib:stone_basalt_dark|||||||||MANGROVE_MAX|MANGROVE_MIN||HOT|HUMID
gaia_hot_humid_coastal|Hot humid coastal biome|||unilib:dirt_silt_coarse_with_litter_rainforest 1|unilib:dirt_silt_coarse 6|unilib:stone_basalt_dark|||||||||COASTAL|MANGROVE_MAX||HOT|HUMID
gaia_hot_humid_lowland|Hot humid lowland biome|||unilib:dirt_silt_fine_with_turf_hot_humid_lowland 1|unilib:dirt_silt_fine 5|unilib:stone_basalt_dark|||||||||LOWLAND|COASTAL||HOT|HUMID
gaia_hot_humid_shelf|Hot humid shelfbiome|||unilib:dirt_dark_with_turf_hot_humid_shelf 1|unilib:dirt_dark 4|unilib:stone_basalt_dark|||||||||SHELF|LOWLAND||HOT|HUMID
gaia_hot_humid_highland|Hot humid highland biome|||unilib:dirt_ordinary_with_turf_hot_humid_highland 1|unilib:dirt_ordinary 3|unilib:stone_basalt_dark|||||||||HIGHLAND|SHELF||HOT|HUMID
gaia_hot_humid_mountain|Hot humid mountain biome|||unilib:stone_basalt_dark 10|unilib:stone_sandstone_brown 20|unilib:stone_brownstone_dark|||||||||MOUNTAIN|HIGHLAND||HOT|HUMID
gaia_hot_humid_strato|Hot humid stratospheric biome|||unilib:stone_basalt_dark 15|unilib:stone_sandstone_brown 25|unilib:stone_brownstone_dark|||||||||STRATO|MOUNTAIN||HOT|HUMID

# =================================================================================================
# Hot semihumid biomes
# =================================================================================================

gaia_hot_semihumid_ocean|Hot semi-humid ocean biome|||unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary 6|unilib:stone_gneiss_brown|||||||||BEACH_MIN|OCEAN||HOT|SEMIHUMID
gaia_hot_semihumid_beach|Hot semi-humid beach biome|||unilib:sand_volcanic_dust 2|unilib:sand_volcanic_ash 4|unilib:stone_gneiss_brown|||||||||BEACH_MAX|BEACH_MIN||HOT|SEMIHUMID
gaia_hot_semihumid_coastal|Hot semi-humid coastal biome|||unilib:dirt_silt_fine_with_turf_hot_semihumid_coastal 1|unilib:dirt_silt_fine 6|unilib:stone_gneiss_brown|||||||||COASTAL|BEACH_MAX||HOT|SEMIHUMID
gaia_hot_semihumid_lowland|Hot semi-humid lowland biome|||unilib:dirt_dark_with_turf_hot_semihumid_lowland 1|unilib:dirt_dark 5|unilib:stone_gneiss_brown|||||||||LOWLAND|COASTAL||HOT|SEMIHUMID
gaia_hot_semihumid_shelf|Hot semi-humid shelf biome|||unilib:dirt_ordinary_with_turf_hot_semihumid_shelf 1|unilib:dirt_ordinary 4|unilib:stone_gneiss_brown|||||||||SHELF|LOWLAND||HOT|SEMIHUMID
gaia_hot_semihumid_highland|Hot semi-humid highland biome|||unilib:dirt_coarse_with_turf_hot_semihumid_highland 1|unilib:dirt_coarse 3|unilib:stone_gneiss_brown|||||||||HIGHLAND|SHELF||HOT|SEMIHUMID
gaia_hot_semihumid_mountain|Hot semi-humid mountain biome|||unilib:stone_gneiss_brown 10|unilib:stone_quartzite_brown 20|unilib:stone_diorite_dark|||||||||MOUNTAIN|HIGHLAND||HOT|SEMIHUMID
gaia_hot_semihumid_strato|Hot semi-humid stratospheric biome|||unilib:stone_gneiss_brown 15|unilib:stone_quartzite_brown 25|unilib:stone_diorite_dark|||||||||STRATO|MOUNTAIN||HOT|SEMIHUMID

# =================================================================================================
# Hot temperate biomes
# =================================================================================================

gaia_hot_temperate_ocean|Hot temperate ocean biome|||unilib:sand_ordinary 4|unilib:sand_white 6|unilib:stone_sandstone_white|||||||||BEACH_MIN|OCEAN||HOT|TEMPERATE
gaia_hot_temperate_beach|Hot temperate beach biome|||unilib:sand_pink 2|unilib:sand_white 4|unilib:stone_sandstone_white|||||||||BEACH_MAX|BEACH_MIN||HOT|TEMPERATE
gaia_hot_temperate_coastal|Hot temperate coastal biome|||unilib:dirt_dark_with_turf_hot_temperate_coastal 1|unilib:dirt_dark 6|unilib:stone_sandstone_white|||||||||COASTAL|BEACH_MAX||HOT|TEMPERATE
