# =================================================================================================
# Hot humid biome ecosystems
# =================================================================================================

# Hot humid ocean

# Hot humid beach

# Hot humid coastal
fungi|gaia_hot_humid_coastal|unilib:dirt_mud_swamp|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
fungi|gaia_hot_humid_coastal|unilib:dirt_black_with_cover_fungi|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
fungi|gaia_hot_humid_coastal|unilib:dirt_black_with_cover_vine|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_black_with_litter_rainforest|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_black_with_turf_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_brown_with_turf_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_clayey_with_litter_rainforest|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_clayey_with_turf_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_sandy_with_litter_rainforest|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
default|gaia_hot_humid_coastal|unilib:dirt_sandy_with_turf_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|0.8|COASTAL|MANGROVE_MAX
