# Output from the "meta_deco_optimise" package, optimising a decorations.csv file,
#    by combining identical decorations on a single line
# Original file: /home/ra/.var/app/net.minetest.Minetest/.minetest/mods/unilib/csv/remixes/gaia/decorations.csv
# Original decorations: 6820
# Optimised file: /home/ra/.var/app/net.minetest.Minetest/.minetest/mods/unilib/csv/remixes/gaia/decorations_optimised.csv
# Optimised decorations: 1852
#
# gaia_hot_humid_ocean
schematic|unilib_glem_tree_mangrove_green_1 unilib_glem_tree_mangrove_green_2 unilib_glem_tree_mangrove_green_3|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_ocean|unilib:sand_silt|||0.06|||
schematic|unilib_glem_tree_mangrove_green_1|COASTAL|BELOW_SEA_LEVEL|gaia_hot_humid_ocean|unilib:sand_silt unilib:dirt_silt_fine|||0.06|||
# gaia_hot_humid_beach
simple|unilib:tree_mangrove_green_sapling|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.008|||
treelog|unilib_glem_tree_mangrove_green_1 unilib:tree_mangrove_green_trunk unilib_glem_tree_mangrove_green_2 unilib:tree_mangrove_green_trunk unilib_glem_tree_mangrove_green_3 unilib:tree_mangrove_green_trunk unilib_glem_tree_mangrove_green_4 unilib:tree_mangrove_green_trunk unilib_glem_tree_mangrove_green_5 unilib:tree_mangrove_green_trunk unilib_glem_tree_mangrove_green_6 unilib:tree_mangrove_green_trunk|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.06|||
treelog|unilib_glem_tree_mangrove_green_1 unilib:tree_mangrove_green_trunk|COASTAL|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:sand_silt unilib:dirt_silt_fine|||0.06|||
# gaia_hot_humid_coastal
simple|unilib:grass_jungle unilib:grass_tall unilib:grass_rainforest_2 unilib:grass_rainforest_4 unilib:tree_young_jungle|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|||0.05|||
simple|unilib:grass_rainforest_1 unilib:grass_rainforest_3 unilib:grass_rainforest_5|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|||0.09|||
simple|unilib:tree_fern_sapling unilib:tree_fern_giant_sapling|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|||0.04|||
schematic|unilib_bush_ordinary|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|||0.01|||
treelog|unilib_glem_tree_jungle_exotic_1 unilib:tree_jungle_exotic_trunk unilib_glem_tree_jungle_exotic_2 unilib:tree_jungle_exotic_trunk unilib_glem_tree_palm_jungle_1 unilib:tree_palm_jungle_trunk unilib_glem_tree_palm_jungle_2 unilib:tree_palm_jungle_trunk unilib_glem_tree_palm_plain_1 unilib:tree_palm_plain_trunk unilib_glem_tree_palm_plain_2 unilib:tree_palm_plain_trunk unilib_glem_tree_palm_1 unilib:tree_palm_trunk unilib_glem_tree_palm_3 unilib:tree_palm_trunk unilib_glem_tree_palm_5 unilib:tree_palm_trunk unilib_glem_tree_palm_exotic_7 unilib:tree_palm_exotic_trunk unilib_glem_tree_palm_exotic_9 unilib:tree_palm_exotic_trunk|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|||0.01|||
schematic_no_rotate|unilib_glem_tree_fern_giant_1 unilib_glem_tree_fern_yellow|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_silt_coarse_with_litter_rainforest|||0.02|||
simple|unilib:plant_nettle_impatiens unilib:grass_giant unilib:misc_patch_grass unilib:plant_bulrush_small unilib:plant_cattail_normal|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_mud_swamp|||0.25|||
schematic|unilib_glem_plant_bulrush_1|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_mud_swamp|||0.02|||
schematic|unilib_glem_plant_bulrush_2|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_mud_swamp|||0.01|||
schematic|unilib_glem_tree_mushroom_mixed_blue unilib_glem_tree_mushroom_mixed_green_dark unilib_glem_tree_mushroom_mixed_large unilib_glem_tree_mushroom_mixed_short unilib_glem_tree_mushroom_mixed_tall|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_black_with_cover_fungi|||0.001|||
schematic|unilib_glem_mushroom_blotchy unilib_glem_mushroom_blotchy_large|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_black_with_cover_fungi|||0.01|||
schematic_no_rotate|unilib_glem_tree_fern_big unilib_glem_tree_fern_giant_1 unilib_glem_tree_fern_giant_2 unilib_glem_tree_fern_yellow|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_black_with_cover_vine|||0.05|||
simple|unilib:flower_orchid unilib:produce_pineapple_grow_8 unilib:grass_deciduous unilib:tree_young_jungle|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_black_with_litter_rainforest|||0.016|||
simple|unilib:fern_broad_leaf unilib:fern_lady unilib:fern_ordinary_1 unilib:fern_spike|COASTAL|MANGROVE_MAX|gaia_hot_humid_coastal|unilib:dirt_black_with_litter_rainforest|||0.08|||
