# =================================================================================================
# Hot humid biome decorations
# =================================================================================================

# Hot humid ocean [unilib:sand_silt]
# (unilib:sand_silt DEFAULT)
# N.B. To make mangrove swamps look the way they're supposed to, use MANGROVE rather than BEACH constants
schematic|unilib_glem_tree_mangrove_green_1|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_ocean|unilib:sand_silt|||0.06|||
schematic|unilib_glem_tree_mangrove_green_2|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_ocean|unilib:sand_silt|||0.06|||
schematic|unilib_glem_tree_mangrove_green_3|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_ocean|unilib:sand_silt|||0.06|||
# N.B. Thanks to biome blending, unilib:sand_silt and unilib:dirt_silt_fine occur at higher
#   elevations than MANGROVE_MAX. Place a few mangrove trees there, to avoid bald patches
schematic|unilib_glem_tree_mangrove_green_1|COASTAL|BELOW_SEA_LEVEL|gaia_hot_humid_ocean|unilib:sand_silt unilib:dirt_silt_fine|||0.06|||

# Hot humid beach [unilib:dirt_silt_fine]
# N.B. To make mangrove swamps look the way they're supposed to, use MANGROVE rather than BEACH constants
# (unilib:dirt_silt_fine DEFAULT)
simple|unilib:tree_mangrove_green_sapling|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.008|||
treelog|unilib_glem_tree_mangrove_green_1 unilib:tree_mangrove_green_trunk|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.06|||
treelog|unilib_glem_tree_mangrove_green_2 unilib:tree_mangrove_green_trunk|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.06|||
treelog|unilib_glem_tree_mangrove_green_3 unilib:tree_mangrove_green_trunk|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.06|||
treelog|unilib_glem_tree_mangrove_green_4 unilib:tree_mangrove_green_trunk|MANGROVE_MAX|BELOW_SEA_LEVEL|gaia_hot_humid_beach|unilib:dirt_silt_fine|||0.06|||
